song,artist,genre,mood,lyrics
Shape of You,Ed Sheeran,pop,happy,"love dance club romance party feel rhythm body move together night beat heart"
Blinding Lights,The Weeknd,pop,energetic,"neon lights city night drive fast energy rush adrenaline never look back alive feeling"
Someone Like You,Adele,ballad,melancholic,"heartbreak lost love memories pain remember goodbye tears rain window alone sadness"
Uptown Funk,Bruno Mars,funk,happy,"party dance groove funk celebration joy upbeat energy city lights shine bright"
Bohemian Rhapsody,Queen,rock,dramatic,"life reality fantasy escape confusion thunder lightning operatic epic journey existential"
Thinking Out Loud,Ed Sheeran,romantic,love,"romance eternal love dance forever young heart soul together beautiful memories"
Despacito,Luis Fonsi,reggaeton,happy,"dance tropical party beach summer rhythm celebration latin energy passion slow"
Rolling in the Deep,Adele,soul,angry,"heartbreak betrayal anger strong power overcome darkness fire revenge pain"
Happy,Pharrell Williams,pop,happy,"joy sunshine smile celebration clap along happiness bright day positive energy"
Stay With Me,Sam Smith,ballad,melancholic,"loneliness vulnerability night alone empty bed desperate love sadness longing"
Radioactive,Imagine Dragons,rock,energetic,"apocalyptic power awakening energy revolution change storm thunder intense breaking"
All of Me,John Legend,romantic,love,"devotion complete love acceptance beautiful perfect imperfections heart soul forever"
Counting Stars,OneRepublic,pop rock,hopeful,"dreams aspirations hope faith believe reach stars ambition journey life meaning"
Viva La Vida,Coldplay,alternative,nostalgic,"kingdom memories history power loss reflection strings orchestral epic journey past"
Hello,Adele,ballad,melancholic,"regret reconnection past memories apologize distance time separation longing sadness"
Can't Stop the Feeling,Justin Timberlake,pop,happy,"dance celebration joy party energy sunshine colors bright positive movement"
Shake It Off,Taylor Swift,pop,happy,"confidence independence shake negativity dance party fun carefree attitude energy"
Let Her Go,Passenger,indie folk,melancholic,"loss realization letting go reflection memories pain growth understanding sadness"
Roar,Katy Perry,pop,empowering,"strength courage confidence fighter champion overcome adversity power voice loud"
Say Something,A Great Big World,ballad,melancholic,"giving up heartbreak silence distance communication failure sadness letting go"
Demons,Imagine Dragons,alternative,dark,"inner struggles darkness fear secrets hidden pain vulnerability monsters within"
Riptide,Vance Joy,indie folk,relaxed,"summer beach ocean breeze carefree love simple happiness acoustic light memories"
Pompeii,Bastille,indie rock,anthemic,"history ruins optimism eyes closed dance apocalypse celebration survival energy"
